MORPH	POS	pred_TAG
_	_	O
영화배우	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
톰	NNP	B-PER
_	_	O
크루즈	NNP	B-PER
는	JX	O
_	_	O
지나+ㄴ	VV+ETM	O
_	_	O
16	SN	B-DAT
일	NNB	I-DAT
_	_	O
파리	NNP	B-LOC
_	_	O
에펠탑	NNP	B-ORG
에서	JKB	O
_	_	O
연인	NNG	O
_	_	O
케이티	NNP	B-PER
_	_	O
홈즈	NNP	B-PER
에게	JKB	O
_	_	O
청혼	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
이유	NNG	O
에	JKB	O
_	_	O
대	NNG	O
하+여	XSV+EC	O
_	_	O
SS	O	O
그녀	NP	O
가	JKS	O
_	_	O
에펠탑	NNP	B-ORG
을	JKO	O
_	_	O
보+ㄹ	VV+ETM	O
_	_	O
때	NNG	O
마다	JX	O
_	_	O
이	MM	O
_	_	O
순간	NNG	O
을	JKO	O
_	_	O
기억	NNG	O
하	XSV	O
도록	EC	O
_	_	O
하	VX	O
기	ETN	O
_	_	O
위하+여서	VV+EF	O
SS	O	O
라고	JKQ	O
_	_	O
밝히	VV	O
었	EP	O
다	EF	O
.	SF	O
		
천하	NNG	O
의	JKG	O
_	_	O
'	SS	O
바람	NNG	O
의	JKG	O
_	_	O
아들	NNG	O
'	SS	O
도	JX	O
_	_	O
팀	NNG	O
이	JKS	O
_	_	O
꼴찌	NNG	O
에서	JKB	O
_	_	O
전전	NNG	O
하	XSV	O
는	ETM	O
_	_	O
현	MM	O
_	_	O
상황	NNG	O
에	JKB	O
_	_	O
대	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
뾰족	MAG	O
하+ㄴ	XSA+ETM	O
_	_	O
해답	NNG	O
을	JKO	O
_	_	O
찾	VV	O
지	EC	O
_	_	O
못하+여	VX+EC	O
_	_	O
힘들+ㄴ	VA+ETM	O
_	_	O
표정	NNG	O
이	VCP	O
었	EP	O
다	EF	O
.	SF	O
		
울산	NNP	B-ORG
_	_	O
모비스	NNP	B-ORG
는	JX	O
_	_	O
올해	NNG	O
_	_	O
NBA	SL	O
_	_	O
서머	NNG	O
리그	NNG	O
에서	JKB	O
_	_	O
LA	SL	B-ORG
_	_	O
레이커스	NNP	B-ORG
_	_	O
소속	NNG	O
으로	JKB	O
_	_	O
뛰+ㄴ	VV+ETM	O
_	_	O
브라이언트	NNP	B-PER
_	_	I-PER
던스턴	NNP	I-PER
(	SS	O
22	SN	O
_	_	O
·	SP	O
_	_	O
198.6	SN	B-NOH
㎝	SW	I-NOH
)	SS	O
을	JKO	O
_	_	O
지명+하	NNG+XSV	O
였	EP	O
고	EC	O
_	_	O
대구	NNP	B-ORG
_	_	O
오리온스	NNP	B-ORG
는	JX	O
_	_	O
가넷	NNP	B-PER
_	_	O
톰슨	NNP	B-PER
(	SS	O
28	SN	B-NOH
_	_	O
·	SP	O
_	_	O
205	SN	B-NOH
㎝	SW	I-NOH
)	SS	O
_	_	O
.	SF	O
		
타이거	NNP	B-PER
_	_	O
우즈	NNP	B-PER
,	SP	O
_	_	O
무릎	NNG	O
_	_	O
또	MAG	O
_	_	O
수술	NNG	O
_	_	O
.	SF	O
		
나상욱	NNP	B-PER
은	JX	O
_	_	O
27	SN	B-DAT
일	NNB	I-DAT
(	SS	O
한국	NNP	B-ORG
시간	NNG	O
)	SS	O
_	_	O
미국	NNP	B-LOC
_	_	O
미시간주	NNP	B-LOC
_	_	O
그랜드	NNG	I-POH
블	NNG	O
랭크	NNG	O
의	JKG	O
_	_	O
워윅	NNP	B-PER
힐스	NNP	I-ORG
CC	SL	O
(	SS	O
파	NNG	O
72	SN	O
_	_	O
·	SP	O
_	_	O
7127	SN	B-NOH
야드	NNB	I-NOH
)	SS	O
에서	JKB	O
_	_	O
열리+ㄴ	VV+ETM	O
_	_	O
1	SN	B-NOH
라운드	NNG	I-NOH
에서	JKB	O
_	_	O
보기	NNG	O
_	_	O
없이	MAG	O
_	_	O
버디	NNG	O
만	JX	O
_	_	O
5	SN	B-NOH
개	NNB	I-NOH
를	JKO	O
_	_	O
뽑아내	VV	O
는	ETM	O
_	_	O
깔끔	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
플레이	NNG	O
로	JKB	O
_	_	O
5	SN	B-NOH
언더파	NNG	I-NOH
_	_	O
67	SN	B-NOH
타	NNG	I-NOH
를	JKO	O
_	_	O
적	VV	O
어	EC	O
내+었	VV+EP	O
다	EC	O
_	_	O
.	SF	O
		
그	NP	O
의	JKG	O
_	_	O
뜻	NNG	O
대로	JX	O
_	_	O
그린	NNG	O
재킷	NNG	O
을	JKO	O
_	_	O
차지	NNG	O
하+ㄴ다면	XSV+EC	O
_	_	O
4	SN	B-NOH
대	NNG	I-NOH
_	_	O
메이저	NNG	O
_	_	O
타이틀	NNG	O
을	JKO	O
_	_	O
한	MM	O
_	_	O
해	NNB	O
에	JKB	O
_	_	O
석권	NNG	O
하	XSV	O
는	ETM	O
_	_	O
그랜드	NNG	O
_	_	O
슬램	NNG	O
을	JKO	O
_	_	O
향	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
진군	NNG	O
이	JKS	O
_	_	O
시작	NNG	O
되+ㄴ다	XSV+EC	O
_	_	O
.	SF	O
		
다음	NNG	B-ORG
은	JX	O
_	_	O
박	NNP	B-PER
_	_	O
본부	NNG	O
장	XSN	O
과	JKB	O
의	JKG	O
_	_	O
일문	NNG	O
_	_	O
일	NR	B-NOH
답	NNG	I-NOH
.	SF	O
		
당초	NNG	O
_	_	O
보스턴	NNP	B-ORG
의	JKG	O
_	_	O
압도적	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
우세	NNG	O
가	JKS	O
_	_	O
예상+되	NNG+XSV	O
었	EP	O
으나	EC	O
_	_	O
애틀랜타	NNP	B-ORG
가	JKS	O
_	_	O
홈	NNG	O
_	_	O
2	SN	B-NOH
연전	NNG	I-NOH
을	JKO	O
_	_	O
독식	NNG	O
하	XSV	O
면서	EC	O
_	_	O
반격	NNG	O
의	JKG	O
_	_	O
발판	NNG	O
을	JKO	O
_	_	O
마련+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
대회	NNG	O
코스	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
라데	NNP	B-PER
나	JC	O
GC	SL	O
는	JX	O
_	_	O
대단히	MAG	O
_	_	O
빠르+ㄴ	VA+ETM	O
_	_	O
그린	NNG	O
으로	JKB	O
_	_	O
무장	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
채	NNB	O
_	_	O
이변	NNG	O
의	JKG	O
_	_	O
무대	NNG	O
를	JKO	O
_	_	O
준비	NNG	O
하	XSV	O
고	EC	O
_	_	O
있	VX	O
다	EC	O
_	_	O
.	SF	O
		
따라서	MAJ	O
_	_	O
'	SS	O
핵	NNG	O
-	SO	O
어	EC	O
-	SO	O
샤크	NNP	B-PER
'	SS	O
_	_	O
전술	NNG	O
은	JX	O
_	_	O
피닉스	NNP	B-ORG
의	JKG	O
_	_	O
주요	NNG	O
_	_	O
공격	NNG	O
옵션	NNG	O
을	JKO	O
_	_	O
애초	NNG	O
에	JKB	O
_	_	O
차단	NNG	O
하+여	XSV+EC	O
_	_	O
공격	NNG	O
리듬	NNG	O
을	JKO	O
_	_	O
무너뜨리	VV	O
는	ETM	O
_	_	O
효과	NNG	O
를	JKO	O
_	_	O
낳	VV	O
고	EC	O
있	VX	O
다	EC	O
_	_	O
.	SF	O
		
모바일	NNG	O
_	_	O
마이	NNG	O
데일리	NNP	O
_	_	O
3693	SN	B-PER
_	_	O
NATE	SL	O
/	SP	B-POH
magic	SL	I-POH
ⓝ	SW	I-POH
/	SP	I-POH
ez	SL	I-POH
-	SO	I-POH
i	SL	I-POH
		
박지성	NNP	B-PER
과	JKB	O
_	_	O
함께	MAG	O
_	_	O
기자회견	NNG	O
에	JKB	O
_	_	O
참석	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
알렉스	NNP	B-PER
_	_	O
퍼거슨	NNP	B-PER
_	_	O
감독	NNG	O
은	JX	O
_	_	O
SS	O	O
이번	NNG	O
_	_	O
경기	NNG	O
가	JKS	O
_	_	O
올	NNG	O
_	_	O
시즌	NNG	O
_	_	O
맨유	NNP	B-ORG
에게	JKB	O
_	_	O
가장	MAG	O
_	_	O
중요	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
경기+이	NNG+VCP	O
라고	EC	O
_	_	O
생각	NNG	O
하+ㄴ다	XSV+EF	O
SS	O	O
며	EC	O
_	_	O
SS	O	O
(	SS	O
1	SN	B-NOH
차	NNB	I-NOH
전	XSN	O
_	_	O
승리	NNG	O
로	JKB	O
)	SS	O
_	_	O
여유	NNG	O
가	JKS	O
_	_	O
있	VA	O
지만	EC	O
_	_	O
그것	NP	O
을	JKO	O
_	_	O
염두	NNG	O
하고	JKB	O
_	_	O
경기	NNG	O
를	JKO	O
_	_	O
치르	VV	O
지	EC	O
는	JX	O
_	_	O
않	VX	O
겠	EP	O
다	EF	O
SS	O	O
는	ETM	O
_	_	O
뜻	NNG	O
을	JKO	O
_	_	O
나타내+었	VV+EP	O
다	EC	O
_	_	O
.	SF	O
		
영국	NNP	B-ORG
_	_	O
런던	NNP	B-ORG
에서	JKB	O
_	_	O
발행	NNG	O
되	XSV	O
는	ETM	O
_	_	O
석간신문	NNG	O
_	_	O
이브닝	NNG	O
_	_	O
스탠더드	NNG	O
가	JKS	O
_	_	O
맨체스터	NNP	B-ORG
_	_	O
유나이티드	NNG	O
와	JC	O
_	_	O
입단	NNG	O
_	_	O
계약	NNG	O
을	JKO	O
_	_	O
체결	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
박지성	NNP	B-PER
에	JKB	O
_	_	O
대	NNG	O
하+여	XSV+EC	O
_	_	O
SS	O	O
끊임없이	MAG	O
_	_	O
연습	NNG	O
을	JKO	O
_	_	O
하	VV	O
는	ETM	O
_	_	O
성실	NNG	O
_	_	O
그	MM	O
_	_	O
자체	NNG	O
SS	O	O
라고	JKQ	O
_	_	O
격찬	NNG	O
하	XSV	O
면서	EC	O
_	_	O
영국	NNP	B-ORG
의	JKG	O
_	_	O
축구	NNG	O
_	_	O
선수	NNG	O
들	XSN	O
에게	JKB	O
_	_	O
SS	O	O
박지성	NNP	B-PER
을	JKO	O
_	_	O
본받	VV	O
아라	EF	O
SS	O	O
라고	JKQ	O
_	_	O
충고+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
펠레	NNP	B-PER
_	_	O
`	SW	O
가정사	NNG	O
'	SS	O
로	JKB	O
_	_	O
방콕	NNP	B-LOC
_	_	O
자선	NNG	O
_	_	O
축구	NNG	O
대회	NNG	O
_	_	O
무기	NNG	O
연기	NNG	O
		
경찰	NNG	O
은	JX	O
_	_	O
카우치	NNG	O
_	_	O
멤버	NNG	O
_	_	O
신	XPN	O
모	NNG	O
(	SS	O
27	SN	B-NOH
)	SS	O
씨	NNB	O
_	_	O
등	NNB	O
_	_	O
2	SN	B-NOH
명	NNB	I-NOH
이	JKS	O
_	_	O
SS	O	O
공연	NNG	O
_	_	O
전	NNG	O
에	JKB	O
_	_	O
사전	NNG	O
에	JKB	O
_	_	O
공모	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
것	NNB	O
은	JX	O
_	_	O
사실	NNG	O
SS	O	O
이라고	JKQ	O
_	_	O
시인	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
뒤	NNG	O
_	_	O
SS	O	O
그냥	MAG	O
_	_	O
재미	NNG	O
삼	VV	O
아	EC	O
_	_	O
장난삼	VV	O
아	EC	O
_	_	O
옷	NNG	O
을	JKO	O
_	_	O
벗	VV	O
었	EP	O
고	EC	O
_	_	O
우리	NP	O
의	JKG	O
_	_	O
음악	NNG	O
을	JKO	O
_	_	O
일반	NNG	O
대중	NNG	O
들	XSN	O
에게	JKB	O
_	_	O
알리	VV	O
기	ETN	O
_	_	O
위하+여서+이	VV+EC+VCP	O
었	EP	O
다	EF	O
SS	O	O
고	JKQ	O
_	_	O
말+하	NNG+XSV	O
였	EP	O
다고	EC	O
_	_	O
밝히	VV	O
었	EP	O
다	EF	O
.	SF	O
		
한국	NNP	B-ORG
영화	NNG	I-ORG
진흥	NNG	O
위원회	NNG	O
(	SS	O
위원장	NNG	O
_	_	O
안정숙	NNP	B-PER
)	SS	O
는	JX	O
_	_	O
중국	NNP	B-LOC
_	_	O
조선족	NNP	O
을	JKO	O
_	_	O
대상	NNG	O
으로	JKB	O
_	_	O
`	SW	O
중국	NNP	B-ORG
_	_	O
동포	NNG	O
_	_	O
영화	NNG	O
교육	NNG	O
_	_	O
장학생	NNG	O
'	SS	O
을	JKO	O
_	_	O
선발	NNG	O
하+ㄴ다	XSV+EF	O
.	SF	O
		
한국	NNP	B-ORG
계	XSN	O
이+ㄴ	VCP+ETM	O
_	_	O
미국	NNP	B-ORG
의	JKG	O
_	_	O
케빈	NNP	B-PER
_	_	I-PER
김	NNP	I-PER
(	SS	O
185	SN	B-NOH
위	NNB	I-NOH
)	SS	O
은	JX	O
_	_	O
남자	NNG	O
단식	NNG	O
_	_	O
예선	NNG	O
_	_	O
2	SN	B-NOH
회전	NNB	I-NOH
에서	JKB	O
_	_	O
알렉스	NNP	B-PER
_	_	I-PER
보고몰로프	NNP	I-PER
_	_	I-PER
주니어	NNG	I-PER
(	SS	O
232	SN	B-NOH
위	NNB	I-NOH
_	_	O
·	SP	O
_	_	O
미국	NNP	B-ORG
)	SS	O
를	JKO	O
_	_	O
2	SN	B-NOH
-	SO	I-NOH
0	SN	I-NOH
(	SS	O
6	SN	B-NOH
-	SO	I-NOH
4	SN	I-NOH
_	_	O
7	SN	B-NOH
-	SO	I-NOH
6	SN	I-NOH
_	_	O
5	SN	B-NOH
)	SS	I-NOH
으로	JKB	O
_	_	O
물리치	VV	O
고	EC	O
_	_	O
3	SN	B-NOH
회전	NNB	I-NOH
에	JKB	O
_	_	O
오르	VV	O
았	EP	O
다	EC	O
_	_	O
.	SF	O
		
배급	NNG	O
사	XSN	O
별	XSN	O
_	_	O
점유율	NNG	O
(	SS	O
전국	NNG	O
_	_	O
기준	NNG	O
)	SS	O
에서	JKB	O
는	JX	O
_	_	O
'	SS	O
마파도	NNP	B-POH
'	SS	O
와	JC	O
_	_	O
'	SS	O
연애	NNG	O
의	JKG	O
_	_	O
목적	NNG	O
'	SS	O
을	JKO	O
_	_	O
배급	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
CJ	SL	B-ORG
엔터테인먼트	NNG	O
가	JKS	O
_	_	O
19	SN	B-NOH
%	SW	I-NOH
로	JKB	O
_	_	O
1	SN	B-NOH
위	NNB	I-NOH
를	JKO	O
_	_	O
차지+하	NNG+XSV	O
였	EP	O
으며	EC	O
_	_	O
'	SS	O
말아톤	NNP	B-POH
'	SS	O
,	SP	O
_	_	O
'	SS	O
잠복근무	NNG	I-POH
'	SS	O
의	JKG	O
_	_	O
쇼	NNG	O
박스	NNG	O
(	SS	O
17.9	SN	B-NOH
%	SW	O
)	SS	O
와	JC	O
_	_	O
'	SS	O
공공	NNG	O
의	JKG	O
_	_	O
적	NNG	O
2	SN	B-NOH
'	SS	O
와	JC	O
_	_	O
'	SS	O
혈	NNG	O
의	JKG	O
_	_	O
누	NNG	O
'	SS	O
의	JKG	O
_	_	O
신	NNG	O
네	XSN	O
마	NNG	O
서비스	NNG	O
(	SS	O
17.5	SN	B-NOH
%	SW	I-NOH
)	SS	O
가	JKS	O
_	_	O
근소	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
차	NNG	O
로	JKB	O
_	_	O
2	SN	B-NOH
위	NNB	I-NOH
와	JC	O
_	_	O
3	SN	B-NOH
위	NNB	I-NOH
에	JKB	O
_	_	O
오르	VV	O
았	EP	O
다	EF	O
.	SF	O
_	_	O
이	NP	O
밖에	JX	O
_	_	O
20	SN	B-NOH
세기	NNG	I-NOH
_	_	O
폭스	NNP	B-PER
(	SS	O
10.1	SN	B-NOH
%	SW	I-NOH
)	SS	O
와	JC	O
_	_	O
쇼이스트	NNP	B-PER
(	SS	O
7.5	SN	B-NOH
%	SW	I-NOH
)	SS	O
,	SP	O
_	_	O
워너브라더스	NNP	B-PER
(	SS	O
6	SN	B-NOH
%	SW	I-NOH
)	SS	O
가	JKS	O
_	_	O
뒤	NNG	O
를	JKO	O
_	_	O
잇	VV	O
었	EP	O
다	EF	O
.	SF	O
		
●	SW	O
대통령	NNG	O
배	NNG	O
_	_	O
전국	NNG	O
시도	NNG	O
대회	NNG	O
(	SS	O
전남	NNP	B-ORG
_	_	O
진도중	NNP	B-PER
_	_	O
체육관	NNG	I-POH
)	SS	O
		
독일	NNP	B-ORG
을	JKO	O
_	_	O
발판	NNG	O
으로	JKB	O
_	_	O
이탈리아	NNP	B-ORG
로	JKB	O
_	_	O
옮기+ㄹ	VV+ETM	O
_	_	O
수	NNB	O
도	JX	O
_	_	O
있	VA	O
지만	EC	O
_	_	O
현실적	NNG	O
으로	JKB	O
_	_	O
어려움	NNG	O
이	JKS	O
_	_	O
있	VA	O
다	EF	O
SS	O	O
고	JKQ	O
_	_	O
설명+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
．	SF	O
		
스칼렛	NNP	B-PER
(	SS	O
비비안	NNP	B-PER
_	_	O
리	NNP	B-PER
_	_	O
분	NNB	O
)	SS	O
에게	JKB	O
_	_	O
신물	NNG	O
이	JKS	O
_	_	O
나+ㄴ	VV+ETM	O
_	_	O
레트	NNG	B-PER
(	SS	O
클라크	NNP	O
_	_	O
게이블	NNP	B-PER
)	SS	O
가	JKS	O
_	_	O
짐	NNG	O
을	JKO	O
_	_	O
싸+아	VV+EC	O
들	VV	O
고	EC	O
_	_	O
집	NNG	O
을	JKO	O
_	_	O
나서	VV	O
는	ETM	O
_	_	O
장면	NNG	O
이	VCP	O
다	EF	O
.	SF	O
		
평균	NNG	O
_	_	O
299.8	SN	B-NOH
야드	NNB	I-NOH
를	JKO	O
_	_	O
기록	NNG	O
하+여	XSV+EC	O
_	_	O
아담	NNP	B-PER
_	_	I-PER
스캇	NNP	B-PER
(	SS	O
297.7	SN	B-NOH
야드	NNB	I-NOH
)	SS	O
이나	JC	O
_	_	O
필	NNP	B-PER
_	_	O
미켈슨	NNP	B-PER
(	SS	O
293	SN	B-NOH
야드	NNB	I-NOH
)	SS	O
_	_	O
.	SF	O
		
융미옌	NNG	B-PER
_	_	O
사장	NNG	O
은	JX	O
_	_	O
SS	O	O
매기	NNG	O
가	JKS	O
_	_	O
지나+ㄴ	VV+ETM	O
_	_	O
주	NNB	O
_	_	O
최종	NNG	O
_	_	O
배역	NNG	O
을	JKO	O
_	_	O
받	VV	O
기	ETN	O
_	_	O
위하+여	VV+EC	O
_	_	O
미국	NNP	B-ORG
_	_	O
로스앤젤레스	NNP	B-ORG
로	JKB	O
_	_	O
가+았	VV+EP	O
다	EF	O
SS	O	O
면서	EC	O
_	_	O
SS	O	O
매기	NNG	O
가	JKS	O
_	_	O
미션	NNG	O
_	_	O
임파서블	NNG	O
에서	JKB	O
_	_	O
주연	NNG	O
급	NNG	O
_	_	O
배역	NNG	O
을	JKO	O
_	_	O
맡	VV	O
게	EC	O
_	_	O
었	EP	O
다는	ETM	O
_	_	O
소식	NNG	O
을	JKO	O
_	_	O
전	NNG	O
하	XSV	O
게	EC	O
_	_	O
되+어	VV+EC	O
_	_	O
매우	MAG	O
_	_	O
기쁘	VA	O
다	EF	O
SS	O	O
고	JKQ	O
_	_	O
말+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
우즈	NNP	B-PER
의	JKG	O
_	_	O
이번	NNG	O
_	_	O
US	SL	O
오픈	NNG	O
_	_	O
우승	NNG	O
은	JX	O
_	_	O
1950	SN	B-DAT
년	NNB	I-DAT
_	_	O
벤	NNP	O
_	_	O
호건	NNP	B-PER
의	JKG	O
_	_	O
US	SL	O
오픈	NNG	O
과	JC	O
_	_	O
비교	NNG	O
되+ㄴ다	XSV+EC	O
_	_	O
.	SF	O
		
최나연	NNP	B-PER
(	SS	B-PER
SK	SL	B-ORG
텔레콤	NNG	I-ORG
)	SS	O
은	JX	O
_	_	O
미국	NNP	B-ORG
으로	JKB	O
_	_	O
건너가+아	VV+EC	O
_	_	O
기량	NNG	O
이	JKS	O
_	_	O
향상	NNG	O
되+ㄴ	XSV+ETM	O
_	_	O
선수+이	NNG+VCP	O
다	EC	O
_	_	O
.	SF	O
		
박지성	NNP	B-PER
(	SS	O
24	SN	B-NOH
.	SF	O
맨체스터	NNP	B-ORG
_	_	O
유나이티드	NNG	O
)	SS	O
에	JKB	O
_	_	O
잇	VV	O
어	EC	O
_	_	O
이영표	NNP	B-PER
(	SS	O
28	SN	B-NOH
.	SF	O
PSV	SL	O
에인트호벤	NNP	B-ORG
)	SS	O
도	JX	O
_	_	O
잉글랜드	NNP	B-ORG
_	_	O
프리미어	NNG	O
리그	NNG	O
_	_	O
명문	NNG	O
_	_	O
맨체스터	NNP	B-ORG
_	_	O
유나이티드	NNG	O
로	JKB	O
_	_	O
이적	NNG	O
하+ㄹ	XSV+ETM	O
_	_	O
가능성	NNG	O
이	JKS	O
_	_	O
있	VA	O
다고	EC	O
_	_	O
네덜란드	NNP	B-ORG
_	_	O
신문	NNG	O
이	JKS	O
_	_	O
보도	NNG	O
하+여	XSV+EC	O
_	_	O
관심	NNG	O
을	JKO	O
_	_	O
끌	VV	O
고	EC	O
_	_	O
있	VX	O
다	EF	O
.	SF	O
		
한국	NNP	B-ORG
사회	NNG	O
복귀	NNG	O
시설	NNG	O
협회	NNG	O
의	JKG	O
_	_	O
한	MM	O
_	_	O
관계자	NNG	O
는	JX	O
_	_	O
SS	O	O
찰리	NNP	B-PER
박이	XSN	O
_	_	O
성인	NNG	O
가수+이	NNG+VCP	O
지만	EC	O
_	_	O
인기	NNG	O
가	JKS	O
_	_	O
높	VA	O
은데다	EC	O
_	_	O
장애우	NNG	O
들	XSN	O
에게	JKB	O
_	_	O
재미있	VA	O
고	EC	O
_	_	O
편	NNG	O
하	XSA	O
게	EC	O
_	_	O
다가가+ㄹ	VV+ETM	O
_	_	O
수	NNB	O
_	_	O
있	VA	O
는	ETM	O
_	_	O
친근	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
이미지+이	NNG+VCP	O
어서	EC	O
_	_	O
홍보	NNG	O
대사	NNG	O
로	JKB	O
_	_	O
선정+하	NNG+XSV	O
였	EP	O
다	EF	O
SS	O	O
며	EC	O
_	_	O
배경	NNG	O
을	JKO	O
_	_	O
설명+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
만약	NNG	O
_	_	O
보스턴	NNP	B-ORG
이	JKS	O
_	_	O
2	SN	B-NOH
차	NNB	I-NOH
전	XSN	O
_	_	O
역전패	NNG	O
를	JKO	O
_	_	O
당+하	NNG+XSV	O
였	EP	O
거나	EC	O
_	_	O
레이커스	NNP	B-ORG
가	JKS	O
_	_	O
4	SN	B-NOH
차	NNB	I-NOH
전	XSN	O
_	_	O
승리	NNG	O
를	JKO	O
_	_	O
지키+어	VV+EC	O
내+었	VX+EP	O
다면	EC	O
_	_	O
시리즈	NNG	O
_	_	O
양상	NNG	O
은	JX	O
_	_	O
지금	NNG	O
과	JKB	O
는	JX	O
_	_	O
달라지	VV	O
었	EP	O
을	ETM	O
_	_	O
것	NNB	O
이	VCP	O
다	EC	O
_	_	O
.	SF	O
		
그	NP	O
는	JX	O
_	_	O
한국	NNP	B-ORG
의	JKG	O
_	_	O
감독	NNG	O
_	_	O
제의	NNG	O
를	JKO	O
_	_	O
기다리+ㄴ	VV+ETM	O
_	_	O
것	NNB	O
이	JKC	O
_	_	O
아니	VCN	O
었	EP	O
느냐는	ETM	O
_	_	O
물음	NNG	O
에	JKB	O
_	_	O
SS	O	O
절대	MAG	O
_	_	O
그렇	VA	O
지	EC	O
_	_	O
않	VX	O
다	EF	O
.	SF	O
_	_	O
저	NP	O
는	JX	O
_	_	O
PSV	SL	O
의	JKG	O
_	_	O
감독	NNG	O
이	VCP	O
었	EP	O
고	EC	O
_	_	O
KFA	SL	O
에	JKB	O
_	_	O
다시	MAG	O
_	_	O
일자리	NNG	O
를	JKO	O
_	_	O
달	VV	O
라고	EC	O
_	_	O
하+ㄴ	VV+ETM	O
_	_	O
적	NNB	O
이	JKS	O
_	_	O
없	VA	O
다	EF	O
SS	O	O
면서	EC	O
_	_	O
SS	O	O
지금	NNG	O
까지	JX	O
_	_	O
4	SN	B-NOH
개국	NNB	I-NOH
_	_	O
축구	NNG	O
협회	NNG	O
로부터	JKB	O
_	_	O
감독	NNG	O
_	_	O
제의	NNG	O
를	JKO	O
_	_	O
받	VV	O
았	EP	O
고	EC	O
_	_	O
그중	NNG	O
_	_	O
호주	NNP	B-ORG
를	JKO	O
_	_	O
포함	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
2	SN	B-NOH
개국	NNB	I-NOH
이	JKS	O
_	_	O
남	VV	O
아	EC	O
있	VX	O
는	ETM	O
_	_	O
상태	NNG	O
SS	O	O
라고	JKQ	O
_	_	O
설명+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
장정	NNG	B-PER
은	JX	O
_	_	O
승부욕	NNG	O
이	JKS	O
_	_	O
강	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
선수+이	NNG+VCP	O
다	EC	O
_	_	O
.	SF	O
		
이승엽	NNP	B-PER
은	JX	O
_	_	O
이	NP	O
로써	JKB	O
_	_	O
오릭스	NNP	B-ORG
와	JKB	O
의	JKG	O
_	_	O
3	SN	B-NOH
연전	NNG	I-NOH
에서	JKB	O
_	_	O
단	MM	O
_	_	O
1	SN	B-NOH
개	NNB	I-NOH
의	JKG	O
_	_	O
안타	NNG	O
도	JX	O
_	_	O
뽑아내	VV	O
지	EC	O
_	_	O
못하	VX	O
며	EC	O
_	_	O
타율	NNG	O
도	JX	O
_	_	O
0.264	SN	O
에서	JKB	O
_	_	O
0.26	SN	O
으로	JKB	O
_	_	O
하락+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
1999	SN	B-DAT
년	NNB	I-DAT
_	_	O
19	SN	B-NOH
세이브	NNG	I-NOH
를	JKO	O
_	_	O
끝	NNG	O
으로	JKB	O
_	_	O
메이저리그	NNG	O
_	_	O
진출	NNG	O
을	JKO	O
_	_	O
선언	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
그	NP	O
는	JX	O
_	_	O
2000	SN	B-DAT
년	NNB	I-NOH
부터	JX	O
_	_	O
시애틀	NNP	B-ORG
_	_	O
매리너스	NNP	O
_	_	O
마무리	NNG	O
로	JKB	O
_	_	O
활약	NNG	O
하	XSV	O
며	EC	O
_	_	O
2003	SN	B-DAT
년	NNB	I-NOH
까지	JX	O
_	_	O
4	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
7	SN	B-NOH
승	NNB	I-NOH
_	_	O
16	SN	B-NOH
패	NNB	I-NOH
_	_	O
129	SN	B-NOH
세이브	NNG	I-NOH
를	JKO	O
_	_	O
기록+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
현	MM	O
_	_	O
KBL	SL	O
_	_	O
최고	NNG	O
의	JKG	O
_	_	O
선수	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
김주성	NNP	B-PER
의	JKG	O
_	_	O
역할	NNG	O
도	JX	O
_	_	O
크	VA	O
다	EC	O
_	_	O
.	SF	O
		
빌럽스	NNP	B-PER
는	JX	O
_	_	O
8	SN	B-DAT
일	NNB	I-DAT
(	SS	O
이하	NNG	O
_	_	O
한국	NNP	B-LOC
시간	NNG	O
)	SS	O
_	_	O
